,soggetto,Conceptual span tot,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,,,
1,3a01,19,2,2,1,2,3,1,3,2,2,1,,,
2,3a02,9,1,0,1,0,2,1,1,1,0,2,,,
3,3a03,15,3,1,2,1,2,2,2,1,0,1,,,
4,3a04,13,2,1,1,2,0,2,1,1,1,2,,,
5,3a05,17,1,1,2,3,3,1,1,2,2,1,,,
6,3a06,10,1,1,1,1,2,0,2,1,0,1,,,
7,3a07,11,2,1,0,0,2,1,0,2,2,1,,,
8,3a08,15,2,2,2,1,2,3,1,1,1,0,,,
9,3a09,13,1,2,1,0,1,3,2,1,0,2,,,
10,3a10,18,2,2,2,0,2,1,2,2,2,3,,,
11,3a11,14,1,0,2,2,1,2,1,1,2,2,,,
12,3a12,12,1,3,2,0,1,1,0,2,1,1,,,
13,3a13,17,3,1,2,1,2,2,1,3,1,1,,,
14,3a14,12,1,1,2,0,1,1,2,2,0,2,,,
15,3a15,12,2,1,2,0,1,2,0,2,1,1,,,
16,3a16,15,2,2,1,1,0,1,2,2,2,2,,,
17,3a17,15,1,3,2,1,1,1,2,2,1,1,,,
18,3a18,15,1,2,3,2,0,1,2,2,1,1,,,
19,3a19,10,3,1,1,0,1,0,0,1,2,1,,,
20,3a20,11,1,2,2,1,0,1,1,1,1,1,,,
21,3a21,10,0,0,0,1,1,2,0,2,2,2,,,
22,3a22,15,3,1,1,1,1,1,3,1,1,2,,,
23,3a23,16,2,2,2,0,2,1,1,2,2,2,,,
24,3a24,15,1,2,2,1,2,2,1,2,0,2,,,
25,3a25,18,2,2,2,1,2,3,1,1,2,2,,,
26,3a26,13,1,1,2,1,1,2,1,1,0,3,,,
27,3a27,9,1,0,1,1,1,0,1,1,1,2,,,
28,3a28,13,2,1,1,2,2,1,1,0,2,1,,,
29,3a29,NS,,,,,,,,,,,,,
30,3a30,19,3,2,3,0,2,1,2,2,2,2,,,
31,3b01,13,3,2,2,1,1,0,1,1,0,2,,,
32,3b02,11,2,1,1,1,1,1,1,1,0,2,,,
33,3b03,11,1,1,0,1,1,1,2,2,1,1,,,
